1, 20.  0. 80.   0.    40.  10.  240.  75.  1.  0. 100. 200.;
2, 20.  0. 80.   0.    40.  250. -75.  75.  1.  0. 100. 200.;
3, 0.   0. 1000. 0.    0.   0.   0.    0.   1.  0. 0.   20.;
4, 20.  0. 200.  0.    199. 250. 0.    75.  1.  0. 88.  90.;
5, 0.   0. 1000. 0.    0.   0.   0.    0.   1.  0. 0.   5. ;
6, 100. 0. 400.  0.    360. 10.  115.  100. 1.  0. 60.  61.;
7, 100. 0. 400.  0.    360. 125. 0.    100. 1.  0. 60.  62.;
8, 240. 0. 3805. -600. 160. 511. 0.    75.  4.  1. 31.  32.;
9, 420  0. 2005. 0.    0.   250. 0.    75.  3.  0. 24.  25.;
10, 0.   0. 1000. 0.    0.   0.   0.    0.   -1. 0. 0.   50.;
11, 20.  0. 200.  0.    199. 300. 0.    75.  1.  0. 88.  90.;
12, 0.   0. 1000. 0.    0.   0.   0.    0.   1.  0. 0.   5.;
13, 100. 0. 400.  0.    360. 10.  115.  100. 1.  0. 60.  61.;
14, 100. 0. 400.  0.    360. 125. 0.    100. 1.  0. 60.  62.;
15, 650. 0. 205.  0.    200. 511. 0.    75.  2.  1. 12.  8.;
16, 840. 0. 2045. -600. 0.   250. 0.    75.  1.  0. 10.  13.;
17, 0.   0. 1000. 0.    0.   0.   0.    0.   1.  0. 0.   150.;
18, 420. 0. 40.   0.    0.   200. 0.    75.  2.  0. 1.   1.;
19, 0.   0. 1000. 0.    0.   0.   0.    0.   1.  0. 0.   5.;
20, 490. 0. 2970. 600.  0.   400. -100. 75.  4.  1. 5.   6.;
21, 550. 0. 2611. -600. 120. 80.  0.    75.  4.  1. 14.  15.;
22, 240. 0. 3131. 600.  160. 250. 250.  75.  -8.  1. 12. 13.;
23, 0.   0. 1000. 0.    0.   0.   0.    0.   1.   0. 0.  20.;
24, 150. 0. 360.  0.    359. 150. 0.    75.  1.   0. 17. 18. ;
25, 0.   0. 1000. 0.    0.   0.   0.    0.   1.   0. 0.  20.;
26, 20.  0. 80.   0.    40.  150. 50.   75.  1.   0. 100. 800.;
27, 0.   0. 1000. 0.    0.   0.   0.    0.   1.   0. 0.   2000.;
